Index,Functions extracted by manual,Functions extracted by ChatGPT,App Description
25124,"1. Collect Carrots  
2. Avoid Rotten Carrots  
3. Catch Hearts  
4. Add More Time  
5. Enjoy Playing With Friends","1. Collect carrots.  
2. Avoid rotten carrots.  
3. Catch hearts to add time.  
4. Enjoy playing with friends.","Help Carrot Man To Collect Carrots And Avoid Rotten Carrots And Catch The Hearts To Add More Time To Catch Carrots And Enjoy Playing With Your Friends

FYI: This Game Is Based On Life Of Carrot Man After His Photo Trends On Different Social Media Sites.
And This Game Is An Entry For ""Student App Challenge"" Of Admob By Google.

If The App Crashed,Laggy And Other Graphics Is Missing Message Our Page Or Email: fernandonicolei@gmail.com

Like Us On Facebook For More: https://www.facebook.com/unicorninteractive14"
25299,"1. Bike simulator  
2. Heal poisoned trees  
3. Magic features","1. Simulate bike riding with magic features.  
2. Heal poisoned trees using magic.","Cool and great bike simulator with magic features.
Heal the poisoned trees with John magic.
You are the master of the forest!"
25319,"1. Manage your line  
2. Shop  
3. Pay","1. Manage your line  
2. Shop online  
3. Pay online","The new Zain App brings the world of Zain to your smart device. 
Manage your line, shop and pay in a new and easy way.  
Your World. Your Way."
25465,"1. Get directions  
2. Plan visit  
3. Find out more about animals  
4. Check daily animal presentations  
5. View events  
6. Take pictures","1. Get directions to the destination.  
2. Plan a visit to the park.  
3. Find information about animals.  
4. Access daily animal presentations and events.  
5. Take pictures.","Before you get to the Park use the app to get directions and plan your visit. Once here you can use it to find out more about our animals, daily animal presentations and events, take pictures and more!"
25623,"1. View facilities details  
2. View services details  
3. View activities details  
4. View events details  
5. View restaurants details","1. Access detailed information on facilities.  
2. View services provided.  
3. Explore upcoming activities.  
4. Stay updated on events.  
5. Discover restaurant options.","Download the official APP of HRHI and don't miss any detail of all of our facilities, services, activities, events, restaurants and much more... 

Welcome to the first European Hard Rock Hotel!"
26593,"1. Catch the fruit before they fall.  
2. Challenge yourself with three amazing game modes.  
3. Collect fruits.","1. Catch fruit before they fall.  
2. Play three amazing game modes.  
3. Collect fruit in the game.","presented by PiiJAE GAMES

Catch the fruit before they fall! There are three amazing game modes to challenge yourself with. How many fruit can you collect?
Copyright 2016 'piijaegames'. All rights reserved.
Art courtesy of GameArtGuppy.com"
26891,"1. Challenging levels from each other  
2. Horn, phase, etc. Contact features  
3. ABS pneumatic brake  
4. String Turbo engine","1. Play a truck simulator game  
2. Complete challenging levels  
3. Use horn and contact features  
4. Activate ABS pneumatic brake  
5. Engage the turbo engine","Get ready to experience the real joy of driving a brand new truck in a construction site waiting for you .
Amazing quality graphics and the most realistic truck simulator game are among the most played games .


general features;
* Challenging levels from each other
* Horn, phase , etc. Contact features
* ABS pneumatic brake , the string Turbo engine.
Now en Download our simulation game."
27062,1. Play the best game,1. Play games.,Download the best game to play now.
27297,"1. Provide training procedures through experiential method.  
2. Publish magazines for Zoo’s and Aquaria.  
3. Publish magazine approx. 12 times a year.","1. Access training procedures through experiential methods.  
2. View publications geared towards zoo and aquarium training.  
3. Read magazines produced for zoos and aquaria.  
4. Access approximately 12 magazine publications annually.","PAAZA (Pan-African Association of Zoos and Aquaria) is dedicated to lift the standard of animal husbandry and care within the ‘Animals in Human Care’ industry, particularly Zoo’s and Aquaria. PAAZA strives to create a solid foundation for further self-development within the Zoo and Aquarium industry.

The publications in this app are geared towards training procedures through an experiential method.

PAAZA produces magazines aim at Zoo’s and Aquaria and will publish the magazine approx. 12 times a year."
27726,"1. Full line-up  
2. Schedule  
3. Floorplan  
4. Selfies","1. View full line-up  
2. Check schedule  
3. Explore floorplan  
4. Take selfies","Discover the brand new and official Tomorrowland Brasil application. Including full line-up, schedule, floorplan, selfies and much more.
Tomorrowland Brasil – April 21-22-23, 2016 – Itu, Brazil.
Live today, Love Tomorrow, Unite Forever,…"
27797,"1. Play as a racing horse jockey  
2. Racing on various courses","1. Play as a racing horse jockey.  
2. Race on various courses.","The racing season is on with a bang, but this time things are geared up a notch. Play as a racing horse jockey, racing on various courses"
27982,"1. Add and drop classes.  
2. View class schedules.  
3. Locate classes on a map.  
4. View grades.  
5. View financial aid.  
6. View student finances.  
7. View holds.  
8. View To do items.","1. Add and drop classes  
2. View class schedules  
3. Locate classes on a map  
4. View grades  
5. View financial aid and student finances  
6. View holds or To do items","This app is for students of Northern Illinois University. It allows students to add and drop classes, view their class schedules, locate classes on a map, view grades, view financial aid and student finances, and view any holds or To do items they might have."
